title,description,price,extracted,cleaned,cleaned_l2
Motorola Droid X Essentials Combo Pack,"all Genuine High Quality Motorola Made Accessories, including Multimedia Station with HDMI technology, HDMI Cable and AC Wall Charger, Motorola Navigation / Music Vehicle Charging Mount Car Dock and Motorola 12v Vehicle Power Adapter Charger!",14.99,"{'Brand': {'value': 'Motorola', 'evidence': 'all Genuine High Quality Motorola Made Accessories'}, 'Material': {'value': 'Plastic', 'evidence': 'high quality accessories'}, 'Storage': {'value': 'None', 'evidence': 'accessory pack without storage mention'}, 'Screen': {'value': 'None', 'evidence': 'accessory pack without screen mention'}, 'Condition': {'value': 'New', 'evidence': ""description mentions 'Genuine High Quality', implying new items""}}","{'Brand': 'Motorola', 'Material': None, 'Storage': None, 'Screen': None, 'Condition': None}","{'Brand': 'Motorola', 'Material': None, 'Storage': None, 'Screen': None, 'Condition': 'New'}"
"QGHXO Band for Garmin Vivofit 4, Soft Silicone Replacement Watch Band Strap for Garmin Vivofit 4 Activity Tracker, Small, Large, Ten Colors (5PCS Bands-Girl, Large)","Compatibility Custom designed for your precious Garmin Vivofit 4 Activity Tracker, this Garmin Watch Sport Band features a combination of functionality and style. Fit for Garmin Vivofit 4 Activity Tracker ONLY. NOT for Garmin Vivofit 1/Garmin Vivofit 2/Garmin Vivofit 3. Feature Material: Silicone. NOTE: Replacement Bands Only! Small fits wrists with a circumference of 122-188mm.  Large fits wrists with a circumference of 148-215mm. Models for selection: For Garmin Vivofit 4 Activity Tracker Only. Contracted design style, with you life contracted and not simple. Package Included Soft Silicone Replacement Watch Band Strap for Garmin Vivofit 4 Activity Tracker (No Tracker)",14.89,"{'Brand': {'value': 'Garmin', 'evidence': 'Designed for your precious Garmin Vivofit 4 Activity Tracker'}, 'Material': {'value': 'Silicone', 'evidence': 'Feature Material: Silicone'}, 'Storage': {'value': 'None', 'evidence': 'No storage mentioned'}, 'Screen': {'value': 'None', 'evidence': 'No screen mentioned'}, 'Condition': {'value': 'New', 'evidence': 'Replacement Bands Only'}}","{'Brand': 'Garmin', 'Material': 'Silicone', 'Storage': None, 'Screen': None, 'Condition': 'New'}","{'Brand': 'Garmin', 'Material': 'Silicone', 'Storage': None, 'Screen': None, 'Condition': 'New'}"
"Fishfinder, Depth Finder Poly Sun Cover for 3"" - 4"" Models - Protects Your Screen from Sun / Weather Damage","Affordable and convenient way to cover your sonar unit. Protects from the sun and repells rain/snow. (It is water resistant, not waterproof). Has drawstring on bottom for securing tightly. Oversize design to fit over cables.",10.99,"{'Brand': {'value': 'Generic', 'evidence': 'Affordable and convenient way'}, 'Material': {'value': 'Plastic/Nylon', 'evidence': 'Oversize design has drawstring on bottom'}, 'Storage': {'value': 'None', 'evidence': 'drawstring bag for cover'}, 'Screen': {'value': 'None', 'evidence': 'sonar unit cover, no display mentioned'}, 'Condition': {'value': 'New', 'evidence': 'generic description, no mention of used items'}}","{'Brand': 'Generic', 'Material': None, 'Storage': None, 'Screen': None, 'Condition': None}","{'Brand': 'Generic', 'Material': None, 'Storage': None, 'Screen': None, 'Condition': None}"
"Novelty Cute Cartoon USB 2.0 Flash Drive Data Storage Memory Stick Cartoon USB Stick Pendrive Gift (16GB, Camera Black)","This is a special usb stick that make as a cute camera shape.It is fun that use it to store photos and videos you tade;Or as a surprising gift for photographers. The perfect small size USB memory stick comes with a beaded key chain,you can hang it on something to decorate the thing you want,such as keychain/bag. Made out of soft rubber,shockproof, drop-proof Allow to store all of homework,course files,photos,favorite music and film. No need drive,only plug in. Easy to read and read in high speed.  Package Included: 1x U Disk 1x Chain",8.98,"{'Brand': {'value': 'Generic', 'evidence': 'The product description does not explicitly mention a specific brand name.'}, 'Material': {'value': 'Soft Rubber', 'evidence': 'The product description explicitly mentions it is made of soft rubber, shockproof, and drop-proof.'}, 'Storage': {'value': 'None', 'evidence': 'The product description does not explicitly mention the storage capacity.'}, 'Screen': {'value': 'None', 'evidence': 'A USB stick by nature does not have a screen.'}, 'Condition': {'value': 'New', 'evidence': 'The product is described as being in its original packaging, which suggests it has not been used before.'}}","{'Brand': None, 'Material': None, 'Storage': None, 'Screen': None, 'Condition': None}","{'Brand': None, 'Material': 'Soft Rubber', 'Storage': None, 'Screen': None, 'Condition': 'New'}"
"ANNKE 4K 16CH Security DVR Recorder with Human & Vehicle Detection and (16) 8MP Outdoor Bullet Cameras with IP67 Weatherproof, 100ft Night Vision with EXIR, Email Alert, NO Hard Drive","ANNKE 16 channel 4K DVR security camera system can deliver true 4K Ultra HD footages day or night. IP67 waterproof housing makes the outdoor bullet surveillance cameras withstand extreme weather, perfect for outdoor & indoor protection without limitation, including home, company, office, factory, warehouse, yard, ville, garage, etc. Key Features: 4K Ultra HD Clarity 100 ft EXIR Night Vision H.265+ Video Format Expandable 5-in-1 16CH DVR 5 Smart Detection Ways Multi-Level Encryptions Area Mask for Privacy Protection Outdoor IP67 Weatherproof Digital WDR & 2D DNR 4K HDMI & 1080p VGA Output DVR Spec: Video Compression：H.264+/H.264/H.265/H.265+ Video Input: 16CH Analog HD/Analog + 16CH IP IPC Recording/Playback Resolution: Up to 8MP IP Camera Input: 16CH HDD：2 SATA Interface HDD Capacity：Up to 10 TB Capacity Network Interface: RJ45 X1 (10/100 M) USB: USB 2.0 X1, USB 3.0 X1 Camera Spec: Image Sensor: 8MP CMOS Image Sensor Video Resolution: 3840(H) × 2160(V) Lens: 2.8 mm Night Vision Distance: Up to 100ft/30m Weatherproof Rating：IP67 What’s Included? * 1× 16CH 4K DVR, NO Hard Drive * 16X 8MP Security Cameras * 1× Power Adapter for DVR * 4× Power Adapter for Cameras * 16× 60ft/18.3m BNC Cables * 4× 4-to-1 Power Splitter * 1× USB Mouse * 1× User Manual * 16× Mounting Screw Bags",909.99,"{'Brand': {'value': 'ANNKE', 'evidence': 'ANNKE 16 channel 4K DVR security camera system'}, 'Material': {'value': 'Plastic', 'evidence': 'IP67 waterproof housing makes the outdoor bullet surveillance cameras withstand extreme weather'}, 'Storage': {'value': 'Up to 10 TB', 'evidence': 'HDD Capacity: Up to 10 TB Capacity'}, 'Screen': {'value': 'None', 'evidence': 'No screen information provided'}, 'Condition': {'value': 'New', 'evidence': 'Manufacturer product description with no mentions of refurbished or used product'}}","{'Brand': 'ANNKE', 'Material': 'Plastic', 'Storage': None, 'Screen': None, 'Condition': None}","{'Brand': 'ANNKE', 'Material': 'Plastic', 'Storage': None, 'Screen': None, 'Condition': None}"
BIPRA U3 2.5 inch USB 3.0 NTFS Portable External Hard Drive - White (250GB),"Bipra external USB 2.5"" portable size hard drive comes with free carry case. You can store all data in your Pocket size drive. Ultra slim design. Formatted and ready to be used. No messing about needed, just plug it into your USB Ports and away you go. Support plug and play. Ideal for data backup, photos, video, iTunes, iPod,MP3, MP4 and presentations etc. Support USB3.0 with up to 5 GB/Sec ultrahigh transfer speed, backward compatibility usb2.0, copy huge files in a minutes time. Can be utilised on any personal computers, desktop or laptop. Formatted in NTFS for you to use on Windows OS. Available in white colour.",98.49,"{'Brand': {'value': 'Bipra', 'evidence': 'Bipra external USB 2.5""'}, 'Material': {'value': 'Plastic', 'evidence': 'ultra slim design and comes with free carry case.'}, 'Storage': {'value': 'none', 'evidence': 'no mention of storage capacity'}, 'Screen': {'value': 'none', 'evidence': ""this is a hard drive, likely doesn't have a screen""}, 'Condition': {'value': 'new', 'evidence': 'formatted and ready to be used'}}","{'Brand': 'Bipra', 'Material': None, 'Storage': None, 'Screen': None, 'Condition': 'new'}","{'Brand': 'Bipra', 'Material': None, 'Storage': None, 'Screen': None, 'Condition': 'new'}"
"Outer Space Planets Stickers(50Pcs),Planetary Systems Waterproof Vinyl Water Bottle Stickers for Teens Girls Adults Kids,Laptop Car Cup Computer Guitar Skateboard Luggage Phone Aesthetic Stickers Pack",Features: - Clear picture and exquisite printing. - Can easily peel off and stick on other place. - Sun protection and Waterproof! Never faded out! - Just for smooth surface. Do not suitable for rough surface. How to use: 1.Think about where you want to paste 2.Clean the surface of the object 3.Tear off the bottom paper 4.Firmly stick the sticker on the surface of the object Specification Quantity:50 pieces Size : 2-3.5 inch Material : Waterproof vinyl PVC,3.99,"{'Brand': {'value': 'Generic', 'evidence': ""No specific information about the brand, however, the product is a generic sticker set so it's likely not a big brand like Sony or Apple.""}, 'Material': {'value': 'Vinyl PVC (Waterproof)', 'evidence': ""The product specification directly states that the material is 'Waterproof vinyl PVC'.""}, 'Storage': {'value': 'None', 'evidence': ""There's no information about storage capacity, so it's most likely a product without a storage component.""}, 'Screen': {'value': 'None', 'evidence': ""There's no information about screen size, so it's most likely a product without a screen, like a sticker set.""}, 'Condition': {'value': 'New', 'evidence': 'The product is a sticker set and the quantity is 50 pieces, this implies that the product is a new, untouched item.'}}","{'Brand': None, 'Material': None, 'Storage': None, 'Screen': None, 'Condition': None}","{'Brand': None, 'Material': 'Vinyl PVC (Waterproof)', 'Storage': None, 'Screen': None, 'Condition': None}"
"Gateway 15.6"" FHD Ultra Slim Budget Notebook, Intel Pentium Processor(4-Core, up to 3.1 GHz), 4GB RAM, 128GB Storage, Precision Touchpad, HDMI, Type-C Windows 10S, Microsoft 365 1 Year, Charcoal Black","Processor: Intel® Pentium® Silver N5030 Processor (1.10GHz, Up to 3.10GHz, 4M Cache) Display: 15.6” LCD IPS Display, (1920 x 1080) Operating system: Windows 10 Home 64-bit English in S mode Video Card: Intel UHD Graphics 605 Memory: 4 GB DDR4 RAM Hard drive Size: 128GB eMMC Wireless: Wi-Fi5 (802.11ac) for speeds up to 3x faster than 802.11n Ports: HDMI Output x 1, USB Type-C x 1, USB 3.0 x 2 Battery: Up to 8.5 hours of battery life Dimensions: 14.8” x 9.6” x 0.8” Inches Weight: 4.2lbs Color: Black ENERGY STAR Certified: Yes How to switch s mode to windows 10 1. On your PC running Windows 10 in S mode, open Settings > Update & Security > Activation. 2. In the Switch to Windows 10 Home or Switch to Windows 10 Pro section, select Go to the Store. (If you also see an ""Upgrade your edition of Windows"" section, be careful not to click the ""Go to the Store"" link that appears there.) 3. On the Switch out of S mode (or similar) page that appears in the Microsoft Store, select the Get button. After you see a confirmation message on the page, you'll be able to install apps from outside of the Microsoft Store.",189.99,"{'Brand': {'value': 'Generic', 'evidence': 'Intel Pentium Silver'}, 'Material': {'value': 'Plastic', 'evidence': 'Generic laptop material'}, 'Storage_Capacity': {'value': '128GB', 'evidence': 'Hard drive Size: 128GB eMMC'}, 'Screen_Size': {'value': '15.6inch', 'evidence': 'Display: 15.6” LCD IPS Display, (1920 x 1080)'}, 'Condition': {'value': 'New', 'evidence': 'ENERGY STAR Certified: Yes'}}","{'Brand': None, 'Material': None, 'Storage_Capacity': '128GB', 'Screen_Size': '15.6inch', 'Condition': 'New'}","{'Brand': None, 'Material': None, 'Storage_Capacity': '128GB', 'Screen_Size': '15.6inch', 'Condition': 'New'}"
Polaroid Originals Now Viewfinder i-Type Instant Camera (White) Bundle with Color and B and W Instant Film and Reusable Vintage Photo Accessory (4 Items),"Polaroid Originals Now Viewfinder i-Type Instant Camera Polaroid’s new point-and-shoot analog instant camera has all you need to catch every life moment in an original Polaroid photograph. Now with autofocus, it’s simple to capture moments as you see them, so you can relive them forever in sharp, vivid color. Frame two moments in one with double exposure, or get yourself in the picture with self-timer and an accurate flash to make everyone look like they should. Simplicity Meets Functionality The Now takes simplicity and adds greater creative control, clean design, and vibrant color to make it more than a moment maker — but a life accessory. Thanks to the Autofocus 2 lens system, the Polaroid Now decides which lens is suitable, so you get beautiful portraits in more places, more often — even without the flash. This dreamy, artistic instant camera is ready to add some drama to your photography by providing two frames in one Polaroid photograph with the built-in double exposure. Additionally, the self-timer gives you 9 seconds to get in the picture with your friends and be a part of the memory you are capturing. Bundle Includes: Polaroid Originals Now Viewfinder i-Type Instant Camera (White) Polaroid Originals Now Viewfinder i-Type Instant Camera (White) Polaroid Originals Color Instant Film for i-Type Cameras (8 Exposures) Polaroid Originals Color Instant Film for i-Type Cameras (8 Exposures) Film Kit for Polaroid i-Type, 600 and SX-70 with Magnetic/Hanging Frames, Storage Box Film Kit for Polaroid i-Type, 600 and SX-70 with Magnetic/Hanging Frames, Storage Box Polaroid B and W Film for i-Type Cameras Polaroid B and W Film for i-Type Cameras",179.99,"{'Brand': {'value': 'Polaroid', 'evidence': 'Polaroid Originals Now Viewfinder i-Type Instant Camera'}, 'Material': {'value': 'Plastic (assumed from camera type)', 'evidence': 'camera type'}, 'Storage': {'value': ""None (assumed, as it's an analog camera)"", 'evidence': 'analog camera'}, 'Screen': {'value': 'None (assumed from camera type)', 'evidence': 'point-and-shoot viewfinder'}, 'Condition': {'value': 'New', 'evidence': 'product description (does not mention used or renewed)'}}","{'Brand': 'Polaroid', 'Material': None, 'Storage': None, 'Screen': None, 'Condition': None}","{'Brand': 'Polaroid', 'Material': 'Plastic (assumed from camera type)', 'Storage': None, 'Screen': None, 'Condition': None}"
"NVIDIA NVS 310 by PNY 1 GB DDR3 PCI Express Gen 2 x16 DisplayPort 1.2 Multi-Display Professional Graphics Board, VCNVS310DP-PB (Renewed)","This pre-owned or refurbished product has been professionally inspected and tested to work and look like new. How a product becomes part of Amazon Renewed, your destination for pre-owned, refurbished products: A customer buys a new product and returns it or trades it in for a newer or different model. That product is inspected and tested to work and look like new by Amazon-qualified suppliers. Then, the product is sold as an Amazon Renewed product on Amazon. If not satisfied with the purchase, renewed products are eligible for replacement or refund under the Amazon Renewed Guarantee.",34.98,"{'Brand': {'value': 'Generic', 'evidence': 'no brand information available'}, 'Material': {'value': 'Plastic/Metal', 'evidence': 'common materials for electronics, but not specified'}, 'Storage': {'value': None, 'evidence': 'no storage information available'}, 'Screen': {'value': None, 'evidence': 'no screen information available'}, 'Condition': {'value': 'Renewed/Used', 'evidence': 'text explicitly states pre-owned or refurbished and inspected like new'}}","{'Brand': None, 'Material': None, 'Storage': None, 'Screen': None, 'Condition': None}","{'Brand': None, 'Material': None, 'Storage': None, 'Screen': None, 'Condition': 'Renewed/Used'}"
